127.0.0.1 - - [22/Oct/2013:22:13:23 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/ HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:13:23 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/mainMenu HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:13:23 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/login HTTP/1.1" 200 5136
127.0.0.1 - - [22/Oct/2013:22:13:23 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/lib/jquery-1.8.2.min.js HTTP/1.1" 200 93436
127.0.0.1 - - [22/Oct/2013:22:13:23 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/styles/lib/bootstrap-2.2.1.min.css HTTP/1.1" 200 101274
127.0.0.1 - - [22/Oct/2013:22:13:23 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/styles/lib/bootstrap-responsive-2.2.1.min.css HTTP/1.1" 200 16529
127.0.0.1 - - [22/Oct/2013:22:13:23 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/styles/style.css HTTP/1.1" 200 4506
127.0.0.1 - - [22/Oct/2013:22:13:23 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/lib/bootstrap-2.2.1.min.js HTTP/1.1" 200 25748
127.0.0.1 - - [22/Oct/2013:22:13:23 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/lib/plugins/jquery.cookie.js HTTP/1.1" 200 1949
127.0.0.1 - - [22/Oct/2013:22:13:23 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/script.js HTTP/1.1" 200 1511
127.0.0.1 - - [22/Oct/2013:22:13:24 +0800] "POST /struts2-demo-web-1.0-SNAPSHOT/j_security_check HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:13:24 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/mainMenu HTTP/1.1" 200 4718
127.0.0.1 - - [22/Oct/2013:22:13:25 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/admin/activeUsers HTTP/1.1" 200 6139
127.0.0.1 - - [22/Oct/2013:22:13:26 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:13:26 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/ HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:13:26 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/mainMenu HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:13:26 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/login HTTP/1.1" 200 5136
127.0.0.1 - - [22/Oct/2013:22:13:26 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/lib/jquery-1.8.2.min.js HTTP/1.1" 200 93436
127.0.0.1 - - [22/Oct/2013:22:13:26 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/styles/lib/bootstrap-2.2.1.min.css HTTP/1.1" 200 101274
127.0.0.1 - - [22/Oct/2013:22:13:26 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/styles/lib/bootstrap-responsive-2.2.1.min.css HTTP/1.1" 200 16529
127.0.0.1 - - [22/Oct/2013:22:13:26 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/styles/style.css HTTP/1.1" 200 4506
127.0.0.1 - - [22/Oct/2013:22:13:27 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/lib/bootstrap-2.2.1.min.js HTTP/1.1" 200 25748
